// ================================================== //
// # Season 2.0 - Gate.txt       	 	    # //
// # MU Online dxteam - © KinhoMace       	    # //
// ================================================== //

//Number	Flag	MapNumber	X1	Y1	X2	Y2	Target Gate	Dir	Level

53	1	7	14	225	15	230	54	0	130
54	2	8	248	40	251	44	0	7	0
55	1	8	246	40	247	44	56	0	130
56	2	7	16	225	17	230	0	3	0
57	0	8	187	54	203	69	0	0	60
58	0	9	133	91	141	99	0	0	10
59	0	9	135	162	142	170	0	0	10
60	0	9	62	150	70	158	0	0	10
61	0	9	66	84	74	92	0	0	10
62	1	4	17	250	19	250	63	0	160
63	2	10	14	13	16	13	0	5	160
64	1	10	14	12	16	12	65	0	50
65	2	4	17	249	19	249	0	1	50
66	0	11	12	5	14	10	0	0	0
67	0	12	12	5	14	10	0	0	0
68	0	13	12	5	14	10	0	0	0
69	0	14	12	5	14	10	0	0	0
70	0	15	12	5	14	10	0	0	0
71	0	16	12	5	14	10	0	0	0
72	0	2	23	27	27	24	0	0	15
73	0	2	224	231	227	227	0	0	15
74	0	2	69	181	72	178	0	0	15
75	0	7	225	53	228	50	0	0	60
76	0	7	62	163	68	157	0	0	60
77	0	8	96	143	100	146	0	0	130
80	0	17	12	5	14	10	0	0	0
82	0	18	31	88	36	95	0	0	0
83	0	19	31	88	36	95	0	0	0
84	0	20	31	88	36	95	0	0	0
85	0	21	31	88	36	95	0	0	0
86	0	22	31	88	36	95	0	0	0
87	0	23	31	88	36	95	0	0	0
88	0	24	10	16	17	22	0	0	0
89	0	25	10	16	17	22	0	0	0
90	0	26	10	16	17	22	0	0	0
91	0	27	10	16	17	22	0	0	0
92	0	28	10	16	17	22	0	0	0
93	0	29	10	16	17	22	0	0	0
94	0	30	88	31	102	46	0	0	0
95	0	31	60	10	69	19	0	0	0
96	1	30	93	242	95	243	97	0	0
97	2	30	164	198	187	209	0	0	0
98	1	30	160	203	161	205	99	0	0
99	2	30	90	236	99	239	0	0	0
100	0	30	39	14	142	50	0	0	0
101	0	30	84	180	100	222	0	0	0
102	1	0	239	14	240	15	103	0	10
103	2	30	29	42	30	37	0	0	10
104	0	30	87	209	100	232	0	0	0
105	0	30	72	10	104	199	0	0	0
106	0	30	131	94	138	92	0	0	0
107	1	30	28	40	28	41	108	0	0
108	2	0	235	13	239	13	0	0	0
109	1	31	59	7	63	8	110	0	0
110	2	30	131	94	138	92	0	0	0
111	0	32	133	91	141	99	0	0	10
112	0	32	135	162	142	170	0	0	10
113	2	33	76	9	78	16	0	0	10
114	2	34	231	37	234	45	0	0	10
116	0	36	10	16	17	22	0	0	0
117	1	30	161	37	165	45	114	0	10
118	0	34	229	37	239	46	0	0	10
119	0	33	82	8	87	14	0	0	130
120	1	3	220	30	226	30	113	0	130
121	1	33	74	9	74	13	122	0	10
122	2	3	220	31	226	34	0	0	10
123	1	34	239	40	240	44	124	0	10
124	2	30	155	37	158	43	0	0	10
125	1	8	6	199	6	201	126	0	150
126	2	37	17	219	21	220	0	0	10
127	1	37	17	220	19	222	128	0	10
128	2	8	7	199	7	201	0	0	130
129	1	37	89	89	89	92	130	0	10
130	2	38	70	104	70	107	0	0	10
131	1	38	69	104	69	107	132	0	10
132	2	37	85	89	86	92	0	0	10
133	0	39	196	56	201	57	0	0	10
134	0	39	78	93	82	95	0	0	10
135	0	39	78	93	82	95	0	0	10
136	0	38	137	162	143	163	0	0	10
137	0	38	71	104	72	107	0	0	10
138	0	37	19	217	21	219	0	0	10
139	0	38	71	104	72	107	0	0	10
140	0	33	186	173	190	177	0	0	130
141	0	37	205	36	208	41	0	0	10
141	0	6	130	117	135	117	0	0	10
